t,x,y,z
-69822956.8176313936710358,0.0000000000000000,0.0000000000000000,0.0000000000000000
-69193756.0498635619878769,132162820.7114028632640839,65611956.2400697618722916,28853302.4734005071222782
-68564555.2820957154035568,123996561.6380356252193451,78841767.5687241256237030,34980044.1953602060675621
-67935354.5143278837203979,113934586.4648092985153198,90873401.7828210145235062,40574149.3207939192652702
-67306153.7465600371360779,102142032.1713514328002930,101527046.1818186491727829,45553263.7711007595062256
-66676952.9787922054529190,88792062.3041498064994812,110633271.5491531640291214,49838532.0654748976230621
-66047752.2110243663191795,74070078.7865429073572159,118030328.7023153007030487,53353680.1963444575667381
-65418551.4432565346360207,58177630.1935907527804375,123561350.6218717843294144,56025190.8100311085581779
-64789350.6754886955022812,41336489.1324870809912682,127074834.3581246733665466,57781803.2977719306945801
-64160149.9077208563685417,23793670.3270874097943306,128425444.0916188955307007,58554846.2398111224174500
-63530949.1399530172348022,5827333.4732532175257802,127476228.1612949967384338,58279204.6994916945695877
-62901748.3721851855516434,-12246455.5925671216100454,124102747.5756289660930634,56895153.4907918795943260
-62272547.6044173464179039,-30066302.4320578426122665,118199832.4693660140037537,54351386.7015205472707748
-61643346.8366495072841644,-47217929.0953424274921417,109691925.1006672531366348,50609685.3897136151790619
-61014146.0688816681504250,-63227618.4927321672439575,98548165.4931510686874390,45651760.9860304221510887
-60384945.3011138290166855,-77558795.7444508522748947,84803433.2050185650587082,39488851.5067391842603683
-59755744.5333459973335266,-89615358.0626721978187561,68586192.9258790463209152,32174492.5197303444147110
-59126543.7655781581997871,-98757216.5576873570680618,50152636.8900563418865204,23820276.9502182118594646
-58497342.9978103190660477,-104335151.2553718537092209,29923561.0444815233349800,14613034.5413597617298365
-57868142.2300424873828888,-105751859.4227047413587570,8515148.4110658317804337,4829457.2766835764050484
-57238941.4622746482491493,-102551105.9615251719951630,-13251802.0306130126118660,-5158890.1501890141516924
-56609740.6945068091154099,-94524463.4068802446126938,-34383779.4009039103984833,-14899225.3819077685475349
-55980539.9267389699816704,-81807074.6017715185880661,-53801561.6673108935356140,-23896509.2630220875144005
-55351339.1589711308479309,-64921249.0280658900737762,-70475613.3359269946813583,-31675007.0752020217478275
-54722138.3912032991647720,-44735914.5809730440378189,-83574399.8674625754356384,-37846486.2523860707879066
-54092937.6234354600310326,-22344883.6595201306045055,-92574778.3179404884576797,-42161707.2609396055340767
-53463736.8556676208972931,1094769.6415919980499893,-97299916.0714120715856552,-44528528.4813678264617920
-52834536.0878997892141342,25525334.2898934558033943,-96065444.3200720995664597,-44826832.5334710478782654
-52205335.3201319426298141,49954376.8427189365029335,-88844318.8112832009792328,-43120277.7744188755750656
-51576134.5523641109466553,72463208.3651732802391052,-78197476.5614223331212997,-39751449.7203847765922546
-50946933.7845962718129158,92410092.9465309679508209,-64767395.0328869074583054,-34968856.4038684964179993
-50317733.0168284326791763,109432722.6757928729057312,-49270403.1587151959538460,-29071872.9248280860483646
-49688532.2490606009960175,123416306.8688511252403259,-32390344.9043115451931953,-22360884.9084346070885658
-49059331.4812927544116974,134425688.5671768188476562,-14717638.2709288429468870,-15105588.4973236806690693
-48430130.7135249227285385,142560070.6741288602352142,3423327.9987466260790825,-7518053.8664671555161476
-47800929.9457570835947990,148179192.1130438148975372,21375753.1504581309854984,199940.8121805153787136
-47171729.1779892444610596,151477875.6473955810070038,38999664.5566723868250847,7917606.8994210185483098
-46542528.4102214127779007,152703626.7689058184623718,56094908.4981977939605713,15529189.1708428487181664
-45913327.6424535736441612,152089375.1486651897430420,72518351.0118217915296555,22955505.9387253336608410
-45284126.8746857345104218,149848334.7632583975791931,88169524.9784871488809586,30137819.7087969481945038
-44654926.1069179028272629,146172632.8082599937915802,102979415.9462354779243469,37032880.1795524656772614
-44025725.3391500562429428,141233960.2543517351150513,116901971.4266749620437622,43609063.8030596971511841
-43396524.5713822245597839,135185196.9740698933601379,129907784.8630229532718658,49843429.5823898762464523
-42767323.8036143854260445,128162415.2748695611953735,141979441.9343559741973877,55719498.5287101119756699
-42138123.0358465462923050,120286940.4197837114334106,153108107.6999647617340088,61225587.5986125916242599
-41508922.2680787146091461,111667307.3219420462846756,163291028.9217473864555359,66353561.8800617158412933
-40879721.5003108754754066,102401041.2883236259222031,172529708.0943434834480286,71097900.2483260780572891
-40250520.7325430363416672,92576238.8805554062128067,180828566.5816620886325836,75454993.7799817323684692
-39621319.9647751972079277,82272956.2829805910587311,188193962.8703988790512085,79422615.8708572536706924
-38992119.1970073580741882,71564424.4267856478691101,194633476.6970143616199493,82999522.9036743640899658
-38362918.4292395263910294,60518106.4070807397365570,200155384.6341014504432678,86185151.1574299186468124
-37733717.6614716872572899,49196621.0888052210211754,204768280.9586529731750488,88979387.6016658097505569
-37104516.8937038481235504,37658552.9377740025520325,208480804.8110037744045258,91382395.7273806780576706
-36475316.1259360164403915,25959167.3032379634678364,211301447.3007877469062805,93394483.3386599868535995
-35846115.3581681773066521,14151048.1897590514272451,213238419.4292006492614746,95016002.6160463392734528
-35216914.5904003381729126,2284673.5793597083538771,214299566.9492940306663513,96247275.2450350373983383
-34587713.8226324990391731,-9591058.1574405059218407,214492322.3447521030902863,97088537.3185446709394455
-33958513.0548646599054337,-21382667.5856738686561584,213827547.3075708150863647,97537679.0345385372638702
-33329312.2870968282222748,-32852650.9221498481929302,212327864.2832270264625549,97585386.1832939535379410
-32700111.5193289890885353,-44191259.0923610553145409,209979139.6544883847236633,97242874.3671591281890869
-32070910.7515611499547958,-55352233.1203756630420685,206786567.7995140254497528,96509566.9265340864658356
-31441709.9837933108210564,-66288492.0190966129302979,202754792.5203284323215485,95384587.6700277924537659
-30812509.2160254791378975,-76951637.2472598552703857,197888008.6779234409332275,93866781.9242013394832611
-30183308.4482576400041580,-87291428.0946038067340851,192190090.2028152048587799,91954740.6723239868879318
-29554107.6804898008704185,-97255226.7117580175399780,185664836.4619148075580597,89646800.0192423909902573
-28924906.9127219617366791,-106787404.4579817205667496,178316124.9612125158309937,86941239.2633556276559830
-28295706.1449541226029396,-115826835.7933574169874191,170145649.6581756770610809,83835636.9972838014364243
-27666505.3771862909197807,-124309172.2717628031969070,161157598.3228187263011932,80328020.1454730033874512
-27037304.6094184517860413,-132167561.8884323388338089,151361400.9060896933078766,76417548.9741691797971725
-26408103.8416506126523018,-139326488.3066759407520294,140765018.6175140142440796,72103040.6402524262666702
-25778903.0738827735185623,-145702943.5005568265914917,129379067.6808049082756042,67384033.8828199803829193
-25149702.3061149418354034,-151205107.8871009349822998,117217910.8216838240623474,62261196.8889347240328789
-24520501.5383471027016640,-155730838.2579451501369476,104301115.9518173933029175,56736887.9575722143054008
-23891300.7705792635679245,-159165941.4124575555324554,90655415.4175886213779449,50815927.7050728052854538
-23262100.0028114244341850,-161382249.7969916462898254,76317361.7700253725051880,44506672.1767535060644150
-22632899.2350435927510262,-162235547.5233409404754639,61336938.7454364299774170,37822506.2062143757939339
-22003698.4672757536172867,-161563481.0251844227313995,45782487.3068625479936600,30783927.3030723221600056
-21374497.6995079144835472,-159183746.2761459052562714,29747430.4779060706496239,23421456.0543684177100658
-20745296.9317400753498077,-154893132.9172533452510834,13359420.4033488426357508,15779690.0609884187579155
-20116096.1639722436666489,-148468516.2125127315521240,-3207356.0773297622799873,7922901.3926440626382828
-19486895.3962044045329094,-139671762.8468381762504578,-19716055.7815372012555599,-57391.8307407968677580
-18857694.6284365653991699,-128261861.0786197334527969,-35846891.3383137136697769,-8032543.5395431723445654
-18228493.8606687262654305,-114019503.0198639035224915,-51173916.9685237556695938,-15824828.1417270563542843
-17599293.0929008871316910,-96791315.6218747198581696,-65144350.4669319763779640,-23195287.0349180698394775
-16970092.3251330554485321,-76560135.2454941570758820,-77071433.2166286408901215,-29836107.7025475613772869
-16340891.5573652163147926,-53454727.0936924219131470,-87033790.2694226354360580,-35430924.3202987387776375
-15711690.7895973771810532,-28014254.4467551372945309,-96742482.0844086110591888,-39794759.9410290867090225
-15082490.0218295380473137,-1423115.3628524392843246,-102496976.9193391650915146,-42517330.6689318940043449
-14453289.2540617063641548,25238285.8414700105786324,-104349081.0881641656160355,-43610136.2497768253087997
-13824088.4862938672304153,51072905.4664546698331833,-102693128.6245106458663940,-43234400.7079359143972397
-13194887.7185260280966759,75473899.4067075699567795,-98108876.7664807736873627,-41625469.4871365800499916
-12565686.9507581889629364,98120310.7749472558498383,-91188055.4671619683504105,-39027338.1003582477569580
-11936486.1829903572797775,118882529.2889229059219360,-82493746.9375463575124741,-35665556.8461889103055000
-11307285.4152225181460381,138608856.2767130732536316,-70263833.3528112471103668,-30699351.4731183946132660
-10678084.6474546790122986,156762131.0565137267112732,-56363039.7111520841717720,-24981666.6039635129272938
-10048883.8796868398785591,173195070.7931580245494843,-41833211.5911995172500610,-18985227.0856207758188248
-9419683.1119190007448196,188046860.7845178842544556,-26915838.0110568106174469,-12813067.5639592930674553
-8790482.3441511690616608,201466642.7833186686038971,-11789551.3607093207538128,-6541670.7958092940971255
-8161281.5763833299279213,213599643.9261114001274109,3415029.4319696482270956,-227230.1707204043050297
-7532080.8086154907941818,224580373.2316924035549164,18603483.0622582547366619,6089403.2256607068702579
-6902880.0408476516604424,234530007.2935058176517487,33708306.2866190522909164,12378829.0675485823303461
-6273679.2730798199772835,243556017.6496973037719727,48681781.6916059777140617,18620094.2255413234233856
-5644478.5053119808435440,251752919.9237173199653625,63490652.9975445196032524,24798442.4067367762327194
-5015277.7375441417098045,259203503.6292775571346283,78112208.7908009439706802,30903653.7435744516551495
-4386076.9697763025760651,265980205.2483570277690887,92531422.9298966228961945,36928828.6566853672266006
-3756876.2020084708929062,272146444.7908074855804443,106738870.0606122016906738,42869498.8833264335989952
-3127675.4342406317591667,277757849.7486665248870850,120729207.1635791808366776,48722977.4327833279967308
-2498474.6664727926254272,282863333.3867886662483215,134500063.3781997859477997,54487882.6262281164526939
-1869273.8987049609422684,287506030.4652940630912781,148051223.9038710892200470,60163787.0170921236276627
-1240073.1309371143579483,291724102.3599374294281006,161384028.5433314442634583,65750957.3731744363903999
-610872.3631692826747894,295551423.4373607635498047,174500928.0948750972747803,71250162.2071966975927353
18328.4045985490083694,299018163.5192514061927795,187405155.9255476593971252,76662528.7823645621538162
647529.1723663955926895,302151282.8541321158409119,200100484.3260824382305145,81989436.5604318678379059
1276729.9401342272758484,304974952.4842846989631653,212591043.2208034098148346,87232437.5114127695560455
1905930.7079020738601685,307510911.6379061341285706,224881185.0598330199718475,92393196.3830678462982178
2535131.4756699055433273,309778769.3520031571388245,236975382.3001925051212311,97473445.2556185424327850
3164332.2434377372264862,311796272.7143146395683289,248878157.2808653116226196,102474951.4805472344160080
3793533.0112055838108063,313579516.9205549359321594,260594020.9234621524810791,107399494.6671752631664276
4422733.7789734154939651,315143169.6604464650154114,272127447.2843345999717712,112248840.7650984525680542
5051934.5467412620782852,316500606.9696570038795471,283482831.9668282866477966,117024737.3718055486679077
5681135.3145090937614441,317664062.8162895441055298,294664476.0876387357711792,121728901.5645267367362976
6310336.0822769254446030,318644747.6589072346687317,305676567.4954627156257629,126363011.0429272204637527
6939536.8500447720289230,319452975.2327876091003418,316523180.5116288661956787,130928702.1953971236944199
7568737.6178126037120819,320098249.1003751158714294,327208265.7692591547966003,135427565.1772852540016174
8197938.3855804353952408,320589333.7297144532203674,337735640.8173146843910217,139861140.0223302543163300
8827139.1533482819795609,320934344.7248182296752930,348109001.2294868230819702,144230920.3366178274154663
9456339.9211161136627197,321140802.7992475628852844,358331913.8356843590736389,148538349.9848266243934631
10085540.6888839602470398,321215692.6542869806289673,368407820.2999700903892517,152784824.1433265209197998
10714741.4566517919301987,321165515.0317276716232300,378340041.4037433266639709,156971690.6625573933124542
11343942.2244196236133575,320996332.5817987322807312,388131780.2808191180229187,161100250.9380462467670441
11973142.9921874701976776,320713810.1921236515045166,397786126.6003518700599670,165171761.4137783944606781
12602343.7599553018808365,320323248.9774734377861023,407306061.5287359952926636,169187435.4067664742469788
13231544.5277231484651566,319829620.1781394481658936,416694466.8982527852058411,173148447.0876392722129822
