t,x,y,z
-69822956.8176313936710358,138226960.9104894697666168,51418730.8973269537091255,22293497.5184771046042442
-69193756.0498635619878769,129810049.7317555546760559,66838311.2693566083908081,28979049.8680860474705696
-68564555.2820957154035568,119324894.4465456604957581,81203449.1363163888454437,35206560.4584707394242287
-67935354.5143278837203979,106921412.8167594671249390,94265563.5075138360261917,40869643.2235043719410896
-67306153.7465600371360779,92802021.8931615650653839,105801628.1649141162633896,45871900.7651413083076477
-66676952.9787922054529190,77190362.1521611213684082,115631862.8360493034124374,50133811.9046143963932991
-66047752.2110243663191795,60317575.0641706585884094,123589639.2896118760108948,53583342.6070066317915916
-65418551.4432565346360207,42453516.6264002770185471,129523809.2587929964065552,56156326.1811802834272385
-64789350.6754886955022812,23902497.1110127605497837,133330392.3389041572809219,57807300.1507625132799149
-64160149.9077208563685417,4964401.7155179567635059,134955814.4737177789211273,58511631.5455217808485031
-63530949.1399530172348022,-14064297.1228574626147747,134364237.1195563673973083,58254610.1870911642909050
-62901748.3721851855516434,-32865100.0584537610411644,131549960.4575028568506241,57034891.9678805470466614
-62272547.6044173464179039,-51113834.7538041099905968,126564830.0926631689071655,54873926.7086621373891830
-61643346.8366495072841644,-68519243.8774916678667068,119503886.8259242177009583,51811990.5914248079061508
-61014146.0688816681504250,-84806920.5467435419559479,110476480.7406648993492126,47897753.1155063435435295
-60384945.3011138290166855,-99701754.7207165360450745,99624774.9950500875711441,43193551.4620599746704102
-59755744.5333459973335266,-112953233.1367087960243225,87143211.9809717535972595,37782187.5170406103134155
-59126543.7655781581997871,-124364305.2147911489009857,73248196.0627391338348389,31757204.1757557801902294
-58497342.9978103190660477,-133763189.1466772705316544,58159067.4649601951241493,25215135.2622218392789364
-57868142.2300424873828888,-140993874.5048412084579468,42119777.9318128973245621,18261889.0177316442131996
-57238941.4622746482491493,-145946707.0739981830120087,25408320.8703588210046291,11016332.4310073964297771
-56609740.6945068091154099,-148570315.8134612143039703,8296908.0556593723595142,3596884.4398356587626040
-55980539.9267389699816704,-148837278.4768785536289215,-8953196.9355017151683569,-3881818.6861742539331317
-55351339.1589711308479309,-146742778.2084271907806396,-26068663.2607119195163250,-11301743.5506582017987967
